"x_values","y_values","y_errors"
0.123552,0.09621578,0.02798118
0.05408,0.06441902,0.02718017
0.1727,0.17674793,0.09344303
0.068364,0.13021305,0.08872589
0.103712,0.08464054,0.03073869
0.037895,0.01727395,0.01871756
0.072963,0.04695454,0.01522155
0.04554,0.02201725,0.01174712
0.04983,0.02089043,0.01128067
0.050292,0.016816,0.00684296
0.041418,0.02512087,0.01259546
0.075924,0.05000779,0.02536149
0.064856,0.02773461,0.01640758
0.19536,0.16207325,0.08798093
0.12798,0.06703579,0.0204677
0.1612,0.06320751,0.01758498
0.42804,0.37577918,0.098472
0.055556,0.03234393,0.01025214
