"Country","Year","CO2_Mt"
"Australia",1990,276.13755043009
"Austria",1990,62.0177458329137
"Belarus",1990,103.806847084184
"Belgium",1990,118.988821723154
"Bulgaria",1990,80.2316471584528
"Canada",1990,459.037980108462
"Croatia",1990,23.3395636565839
"Cyprus",1990,4.6268751645281
"Czech Republic",1990,164.694160631729
"Denmark",1990,54.2002421712063
"Estonia",1990,36.7008323480168
"European Union (15)",1990,3368.80586667994
"European Union (28)",1990,4437.02849285093
"Finland",1990,56.6441714840891
"France",1990,398.76992441227
"Germany",1990,1042.06570236677
"Greece",1990,82.9978088744445
"Hungary",1990,72.4752085595466
"Iceland",1990,2.1601075945721
"Ireland",1990,32.4239890226293
"Italy",1990,434.656301607363
"Japan",1990,1141.13773503063
"Latvia",1990,19.0524595222279
"Liechtenstein",1990,0.200812906333641
"Lithuania",1990,35.7855409763321
"Luxembourg",1990,11.950291698634
"Malta",1990,1.8667576302315
"Monaco",1990,0.105474357042894
"Netherlands",1990,159.235886802126
"New Zealand",1990,24.9158942956438
"Norway",1990,34.8949930200937
"Poland",1990,374.81203534107
"Portugal",1990,45.1045298815376
"Romania",1990,178.134394071183
"Russian Federation",1990,2509.80241987816
"Slovakia",1990,61.8054945307795
"Slovenia",1990,14.7919774561286
"Spain",1990,227.508028172871
"Sweden",1990,57.1425224295137
"Switzerland",1990,44.6393139867426
"Turkey",1990,141.560045849154
"Ukraine",1990,723.085642626106
"United Kingdom",1990,591.499317778112
"United States",1990,5100.6059248958
"Australia",1991,277.590304796355
"Austria",1991,65.6020516159694
"Belarus",1991,97.4753616930484
"Belgium",1991,121.446555763515
"Bulgaria",1991,61.489102248746
"Canada",1991,450.126598216897
"Croatia",1991,17.3614327744996
"Cyprus",1991,5.07023489045468
"Czech Republic",1991,154.180332469863
"Denmark",1991,64.8620112019525
"Estonia",1991,33.6954845421777
"European Union (15)",1991,3394.85446167506
"European Union (28)",1991,4378.85003844763
"Finland",1991,55.0656410079013
"France",1991,423.121697334592
"Germany",1991,1004.73532608017
"Greece",1991,82.7680640903737
"Hungary",1991,68.8243209771972
"Iceland",1991,2.09015637407035
"Ireland",1991,33.2063215322051
"Italy",1991,434.156414609587
"Japan",1991,1150.07146452193
"Latvia",1991,17.478512042559
"Liechtenstein",1991,0.208025264526807
"Lithuania",1991,37.8910239201009
"Luxembourg",1991,12.4719599809147
"Malta",1991,2.04225571539573
"Monaco",1991,0.106373899854625
"Netherlands",1991,164.23895518213
"New Zealand",1991,25.5647279201526
"Norway",1991,33.4343176022914
"Poland",1991,372.751835907737
"Portugal",1991,46.7772666862257
"Romania",1991,146.153086954441
"Russian Federation",1991,2362.80928495694
"Slovakia",1991,53.3689217374788
"Slovenia",1991,13.7802872222324
"Spain",1991,237.179970245347
"Sweden",1991,57.4402530875865
"Switzerland",1991,46.3685794207108
"Turkey",1991,148.545687225698
"Ukraine",1991,621.681914394077
"United Kingdom",1991,598.323317401187
"United States",1991,5050.47763180197
"Australia",1992,282.530155625606
"Austria",1992,60.1002059339239
"Belarus",1992,90.0602118063315
"Belgium",1992,119.908986846801
"Bulgaria",1992,57.9018059866364
"Canada",1992,464.396338818655
"Croatia",1992,16.7148318134475
"Cyprus",1992,5.41322236742242
"Czech Republic",1992,139.816587426337
"Denmark",1992,59.1213407588551
"Estonia",1992,24.2086047352599
"European Union (15)",1992,3319.12720062139
"European Union (28)",1992,4220.16045044239
"Finland",1992,54.2150153153598
"France",1992,413.020514391774
"Germany",1992,957.56177482713
"Greece",1992,84.4367143149717
"Hungary",1992,61.8425313372118
"Iceland",1992,2.21610367675827
"Ireland",1992,33.074160237467
"Italy",1992,433.867570083608
"Japan",1992,1158.54441263423
"Latvia",1992,14.0032829038032
"Liechtenstein",1992,0.208562682466176
"Lithuania",1992,21.2129822652504
"Luxembourg",1992,12.2421854399653
"Malta",1992,2.14670821969583
"Monaco",1992,0.112934945231402
"Netherlands",1992,162.316089345836
"New Zealand",1992,27.4789743311649
"Norway",1992,34.2373548770506
"Poland",1992,363.232779253488
"Portugal",1992,51.051781936788
"Romania",1992,132.039851670759
"Russian Federation",1992,1945.44128519935
"Slovakia",1992,48.9028262888927
"Slovenia",1992,13.6909748845137
"Spain",1992,245.814280993167
"Sweden",1992,57.2147697156774
"Switzerland",1992,46.2584965088645
"Turkey",1992,154.174573907813
"Ukraine",1992,545.035056800958
"United Kingdom",1992,581.82805881997
"United States",1992,5156.78129635081
"Australia",1993,286.804381538643
"Austria",1993,60.4821678995983
"Belarus",1993,77.2042069269385
"Belgium",1993,118.912127355954
"Bulgaria",1993,58.446960931041
"Canada",1993,463.885902289233
"Croatia",1993,17.1705098700788
"Cyprus",1993,5.67547991277736
"Czech Republic",1993,135.7644506299
"Denmark",1993,61.2730927361988
"Estonia",1993,18.8010819140749
"European Union (15)",1993,3265.72213838096
"European Union (28)",1993,4142.06805830604
"Finland",1993,56.1239642556562
"France",1993,391.484709300452
"Germany",1993,948.683970141992
"Greece",1993,83.742306272163
"Hungary",1993,62.903063651754
"Iceland",1993,2.33933744538672
"Ireland",1993,33.2068109228298
"Italy",1993,427.170177086798
"Japan",1993,1150.8771481944
"Latvia",1993,11.737286450659
"Liechtenstein",1993,0.216614487825922
"Lithuania",1993,16.3573539636351
"Luxembourg",1993,12.3638971706258
"Malta",1993,2.14266707324583
"Monaco",1993,0.112872518744531
"Netherlands",1993,166.712465411439
"New Zealand",1993,27.0469011790515
"Norway",1993,35.8699806866431
"Poland",1993,363.798153425627
"Portugal",1993,49.7507489050314
"Romania",1993,123.243691438238
"Russian Federation",1993,1846.49559045293
"Slovakia",1993,46.3441744724949
"Slovenia",1993,14.0543965170553
"Spain",1993,237.253308012773
"Sweden",1993,57.1082733183731
"Switzerland",1993,43.7177147816239
"Turkey",1993,162.756678283368
"Ukraine",1993,467.6474813371
"United Kingdom",1993,568.100277347773
"United States",1993,5267.71094510955
"Australia",1994,291.375934021178
"Austria",1994,60.8770851131219
"Belarus",1994,64.5062265402304
"Belgium",1994,123.400957185578
"Bulgaria",1994,56.2910767181399
"Canada",1994,478.228784846447
"Croatia",1994,16.4983255669032
"Cyprus",1994,5.91486970117668
"Czech Republic",1994,126.754617433038
"Denmark",1994,65.2269423294453
"Estonia",1994,19.6648628343461
"European Union (15)",1994,3268.48082331554
"European Union (28)",1994,4121.26977774919
"Finland",1994,61.4197906819836
"France",1994,391.681738156853
"Germany",1994,932.485181548122
"Greece",1994,85.9971646832779
"Hungary",1994,61.2041761474566
"Iceland",1994,2.28694037593239
"Ireland",1994,34.4223206026359
"Italy",1994,419.903977854655
"Japan",1994,1210.66044353804
"Latvia",1994,10.227653888985
"Liechtenstein",1994,0.202622537328438
"Lithuania",1994,15.7508196901529
"Luxembourg",1994,11.5501893989543
"Malta",1994,2.25411098527547
"Monaco",1994,0.114776156831198
"Netherlands",1994,166.672971728255
"New Zealand",1994,27.1769092211177
"Norway",1994,37.7800141704963
"Poland",1994,359.432552443298
"Portugal",1994,50.4170945485854
"Romania",1994,121.128309304502
"Russian Federation",1994,1632.52210776253
"Slovakia",1994,43.5784394329945
"Slovenia",1994,14.1887965075564
"Spain",1994,249.451667225846
"Sweden",1994,59.564714012491
"Switzerland",1994,42.9810955527889
"Turkey",1994,161.01388750566
"Ukraine",1994,405.239889810261
"United Kingdom",1994,562.061107967888
"United States",1994,5354.40358002304
"Australia",1995,302.576426107011
"Austria",1995,63.9240400712611
"Belarus",1995,57.5997727827049
"Belgium",1995,124.32362444901
"Bulgaria",1995,58.0430781686546
"Canada",1995,490.945824896465
"Croatia",1995,17.2137579927987
"Cyprus",1995,5.77669425601763
"Czech Republic",1995,128.908974373049
"Denmark",1995,62.0614455856631
"Estonia",1995,17.9978273376064
"European Union (15)",1995,3307.0784060838
"European Union (28)",1995,4169.43230004631
"Finland",1995,57.8963051563167
"France",1995,398.480583676165
"Germany",1995,930.857027480564
"Greece",1995,86.4417244880642
"Hungary",1995,61.330490175411
"Iceland",1995,2.3182230036834
"Ireland",1995,35.2325418959109
"Italy",1995,444.943678141174
"Japan",1995,1223.68732578987
"Latvia",1995,9.03541122613489
"Liechtenstein",1995,0.205645198477601
"Lithuania",1995,15.0626512909996
"Luxembourg",1995,9.21007657259026
"Malta",1995,2.21302722378918
"Monaco",1995,0.111851760030227
"Netherlands",1995,170.737942004046
