Day,sustainability
2014-01-01,24
2014-01-02,49
2014-01-03,50
2014-01-04,33
2014-01-05,39
2014-01-06,68
2014-01-07,70
2014-01-08,80
2014-01-09,74
2014-01-10,70
2014-01-11,35
2014-01-12,48
2014-01-13,77
2014-01-14,87
2014-01-15,92
2014-01-16,83
2014-01-17,70
2014-01-18,41
2014-01-19,47
2014-01-20,73
2014-01-21,84
2014-01-22,85
2014-01-23,82
2014-01-24,72
2014-01-25,37
2014-01-26,46
2014-01-27,83
2014-01-28,88
2014-01-29,94
2014-01-30,92
2014-01-31,72
2014-02-01,38
2014-02-02,51
2014-02-03,85
2014-02-04,89
2014-02-05,88
2014-02-06,83
2014-02-07,67
2014-02-08,43
2014-02-09,50
2014-02-10,89
2014-02-11,92
2014-02-12,93
2014-02-13,90
2014-02-14,70
2014-02-15,42
2014-02-16,48
2014-02-17,86
2014-02-18,88
2014-02-19,89
2014-02-20,81
2014-02-21,78
2014-02-22,48
2014-02-23,57
2014-02-24,96
2014-02-25,92
2014-02-26,93
2014-02-27,92
2014-02-28,75
2014-03-01,38
2014-03-02,55
2014-03-03,86
2014-03-04,98
2014-03-05,99
2014-03-06,90
2014-03-07,71
2014-03-08,41
2014-03-09,62
2014-03-10,93
2014-03-11,96
2014-03-12,92
2014-03-13,88
2014-03-14,74
2014-03-15,41
2014-03-16,54
2014-03-17,90
2014-03-18,97
2014-03-19,97
2014-03-20,85
2014-03-21,71
2014-03-22,46
2014-03-23,62
2014-03-24,95
2014-03-25,92
2014-03-26,94
2014-03-27,99
2014-03-28,74
2014-03-29,47
2014-03-30,63
2014-03-31,94
2014-04-01,97
2014-04-02,94
2014-04-03,91
2014-04-04,80
2014-04-05,42
2014-04-06,54
2014-04-07,89
2014-04-08,94
2014-04-09,95
2014-04-10,93
2014-04-11,67
2014-04-12,42
2014-04-13,50
2014-04-14,88
2014-04-15,87
2014-04-16,90
2014-04-17,79
2014-04-18,54
2014-04-19,41
2014-04-20,50
2014-04-21,80
2014-04-22,91
2014-04-23,91
2014-04-24,93
2014-04-25,73
2014-04-26,49
2014-04-27,62
2014-04-28,100
2014-04-29,96
2014-04-30,99
2014-05-01,91
2014-05-02,66
2014-05-03,45
2014-05-04,57
2014-05-05,92
2014-05-06,93
2014-05-07,92
2014-05-08,89
2014-05-09,74
2014-05-10,43
2014-05-11,54
2014-05-12,96
2014-05-13,89
2014-05-14,89
2014-05-15,91
2014-05-16,73
2014-05-17,40
2014-05-18,49
2014-05-19,85
2014-05-20,86
2014-05-21,81
2014-05-22,80
2014-05-23,65
2014-05-24,36
2014-05-25,42
2014-05-26,63
2014-05-27,76
2014-05-28,83
2014-05-29,79
2014-05-30,64
2014-05-31,37
2014-06-01,48
2014-06-02,82
2014-06-03,83
2014-06-04,82
2014-06-05,82
2014-06-06,69
2014-06-07,37
2014-06-08,46
2014-06-09,79
2014-06-10,79
2014-06-11,76
2014-06-12,72
2014-06-13,65
2014-06-14,37
2014-06-15,50
2014-06-16,79
2014-06-17,79
2014-06-18,69
2014-06-19,69
2014-06-20,55
2014-06-21,29
2014-06-22,38
2014-06-23,70
2014-06-24,72
2014-06-25,66
2014-06-26,62
2014-06-27,54
2014-06-28,26
2014-06-29,35
2014-06-30,59
2014-07-01,59
2014-07-02,60
2014-07-03,55
2014-07-04,38
2014-07-05,27
2014-07-06,33
2014-07-07,59
2014-07-08,60
2014-07-09,61
2014-07-10,60
2014-07-11,52
2014-07-12,26
2014-07-13,30
2014-07-14,58
2014-07-15,62
2014-07-16,66
2014-07-17,59
2014-07-18,49
2014-07-19,31
2014-07-20,35
2014-07-21,65
2014-07-22,70
2014-07-23,65
2014-07-24,67
2014-07-25,55
2014-07-26,30
